Substância Ativa/DCI,Nome do Medicamento,Forma Farmacêutica,Dosagem,Titular de AIM,Genérico,Estado da AIM,Comercialização
Aminoácidos,Aminoplasmal Hepa,Solução para perfusão,Associação,"B. Braun Medical, Unipessoal Lda.",Não,Autorizado,Comercializado
Risperidona,Risperidona Krka,Comprimido orodispersível,0.5 mg,"KRKA Farmacêutica, Sociedade Unipessoal, Lda.",Sim,Autorizado,Não Comercializado
Tapentadol,Tapentadol Ciclum,Comprimido de libertação prolongada,25 mg,"Ciclum Farma Unipessoal, Lda.",Sim,Autorizado,Não Comercializado
Amiodarona,Amiodarona Mylan,Comprimido,200 mg,"Mylan, Lda.",Sim,Autorizado,Comercializado
Ebastina,Ebastina Alter,Comprimido revestido por película,20 mg,"Alter, S.A.",Sim,Autorizado,Comercializado
Trastuzumab,Herceptin,Solução injetável,600 mg/5 ml,Roche Registration GmbH,Não,Autorizado,Comercializado
Alprazolam,Alprazolam Mylan,Comprimido,0.25 mg,"Towa Pharmaceutical, S.A.",Sim,Autorizado,Comercializado
Amoxicilina + Ácido clavulânico,Amoxicilina + Ácido Clavulânico Sandoz 500 mg + 125 mg Comprimidos revestidos,Comprimido revestido por película,500 mg + 125 mg,"Sandoz Farmacêutica, Lda.",Sim,Autorizado,Comercializado
Dabrafenib,Tafinlar,Cápsula,75 mg,Novartis Europharm Limited,Não,Autorizado,Comercializado
Amoxicilina + Ácido clavulânico,"Amoxicilina + Ácido Clavulânico Sandoz 250 mg + 62,5 mg/5 ml Pó para susp. oral",Pó para suspensão oral,250 mg/5 ml + 62.5 mg/5 ml,"Sandoz Farmacêutica, Lda.",Sim,Autorizado,Comercializado
Clobazam,Castilium,Comprimido,10 mg,"Sanofi - Produtos Farmacêuticos, Lda.",Não,Autorizado,Comercializado
Amoxicilina,Amoxicilina Labesfal,Cápsula,500 mg,"Generis Farmacêutica, S.A.",Não,Autorizado,Comercializado
Gabapentina,Gabapentina Mylan,Comprimido revestido por película,800 mg,"Mylan, Lda.",Sim,Autorizado,Não Comercializado
Candesartan,Blopress,Comprimido,4 mg,"Laboratório Medinfar - Produtos Farmacêuticos, S.A.",Não,Autorizado,Não Comercializado
Gabapentina,Gabapentina Mylan,Comprimido revestido por película,600 mg,"Mylan, Lda.",Sim,Autorizado,Não Comercializado
Gemcitabina,Gemcit,Pó para solução para perfusão,200 mg,"Fresenius Kabi Pharma Portugal, Lda.",Sim,Autorizado,Não Comercializado
Gemcitabina,Gemcit,Pó para solução para perfusão,1000 mg,"Fresenius Kabi Pharma Portugal, Lda.",Sim,Autorizado,Comercializado
Gemcitabina,Gemcit,Pó para solução para perfusão,1500 mg,"Fresenius Kabi Pharma Portugal, Lda.",Sim,Autorizado,Não Comercializado
Atosibano,Tractocile,Solução injetável,6.75 mg/0.9 ml,Ferring Pharmaceuticals A/S,Não,Autorizado,Não Comercializado
Irbesartan,Irbesartan Tetrafarma,Comprimido revestido por película,75 mg,"Tetrafarma - Produtos Farmacêuticos, Lda.",Sim,Autorizado,Não Comercializado
Insulina humana (isofânica),Insuman Basal,Suspensão injetável,40 U.I./ml,Sanofi Aventis Deutschland GmbH,Não,Autorizado,Não Comercializado
Insulina humana (solúvel + isofânica),Insuman Comb 15,Suspensão injetável,100 U.I./ml (15% + 85%),Sanofi Aventis Deutschland GmbH,Não,Autorizado,Não Comercializado
Insulina humana (solúvel + isofânica),Insuman Comb 15,Suspensão injetável,40 U.I./ml (15% + 85%),Sanofi Aventis Deutschland GmbH,Não,Autorizado,Não Comercializado
Irbesartan,Irbesartan Pentafarma,Comprimido revestido por película,75 mg,"Pentafarma - Sociedade Técnico-Medicinal, S.A.",Sim,Autorizado,Não Comercializado
Protóxido de azoto,Protóxido de Azoto Nippon Gases,Gás medicinal liquefeito,100 %,"Nippon Gases Portugal Unipessoal, Lda",Não,Autorizado,Comercializado
Fenitoína,Fenitoína Generis,Solução injetável,250 mg/5 ml,Eugia Pharma (Malta) Limited,Sim,Autorizado,Não Comercializado
Ibuprofeno,Trifene Efervescente,Comprimido efervescente,200 mg,"Laboratório Medinfar - Produtos Farmacêuticos, S.A.",Não,Autorizado,Não Comercializado
Piroxicam,Flexar,Supositório,20 mg,"A. Menarini Portugal - Farmacêutica, S.A.",Não,Autorizado,Comercializado
Tetrizolina,Visine,"Colírio, solução",0.5 mg/ml,"Johnson & Johnson, Lda.",Não,Autorizado,Comercializado
Dinitrato de isossorbida,Flindix,Comprimido,5 mg,"Faes Farma Portugal, S.A.",Não,Autorizado,Comercializado
Dinitrato de isossorbida,Flindix Retard,Cápsula de libertação prolongada,20 mg,"Faes Farma Portugal, S.A.",Não,Autorizado,Comercializado
Dinitrato de isossorbida,Flindix Retard,Cápsula de libertação prolongada,40 mg,"Faes Farma Portugal, S.A.",Não,Autorizado,Comercializado
Fluticasona,Flixotaide Diskus,Pó para inalação,100 µg/dose,"Glaxo Wellcome Farmacêutica, Lda.",Não,Autorizado,Comercializado
Fluticasona,Flixotaide Diskus,Pó para inalação,250 µg/dose,"Glaxo Wellcome Farmacêutica, Lda.",Não,Autorizado,Comercializado
Fluticasona,Flixotaide Diskus,Pó para inalação,500 µg/dose,"Glaxo Wellcome Farmacêutica, Lda.",Não,Autorizado,Comercializado
Fluticasona,Flixotaide Diskus,Pó para inalação,50 µg/dose,"Glaxo Wellcome Farmacêutica, Lda.",Não,Autorizado,Não Comercializado
Ondansetrom,Ondansetrom Aurovitas,Solução injetável ou para perfusão,8 mg/4 ml,Eugia Pharma (Malta) Limited,Sim,Autorizado,Não Comercializado
Electrólitos,Nutryelt,Concentrado para solução para perfusão,Associação,"Laboratoire Aguettant, S.A.",Não,Autorizado,Comercializado
Phleum pratense,Grazax,Liofilizado oral,75000 SQ-T,Alk-Abelló A/S,Não,Autorizado,Comercializado
Palonossetrom,Palonossetrom Hikma,Solução injetável,0.25 mg/5 ml,"Hikma Farmacêutica (Portugal), S.A.",Sim,Autorizado,Não Comercializado
Minociclina,Cipancin,Comprimido revestido,100 mg,"Laboratórios Atral, S.A.",Não,Autorizado,Comercializado
Ibuprofeno,Nurofen,Cápsula mole para mastigar,100 mg,"Reckitt Benckiser Healthcare, Lda.",Não,Autorizado,Comercializado
Tolvaptano,Jinarc,Comprimido,15 mg,Otsuka Pharmaceutical Netherlands B.V.,Não,Autorizado,Não Comercializado
Lenvatinib,Lenvima,Cápsula,4 mg,Eisai GmbH,Não,Autorizado,Comercializado
Iodopovidona,Iodolab,Solução cutânea,100 mg/ml,"Labesfal - Laboratórios Almiro, S.A.",Não,Autorizado,Não Comercializado
"Vacina contra o papilomavírus humano (tipos 6, 11, 16 ,18, 31, 33, 45, 52, 58)",Gardasil 9,Suspensão injetável em seringa pré-cheia,Associação,Merck Sharp & Dohme B.V.,Não,Autorizado,Comercializado
Hipromelose,Davilose Forte,"Colírio, solução",10 mg/ml,"DAVI II - Farmacêutica, S.A.",Não,Autorizado,Comercializado
Alopurinol,Alopurinol Ciclum 300 mg Comprimidos,Comprimido,300 mg,"Ciclum Farma Unipessoal, Lda.",Sim,Autorizado,Comercializado
Ácido fusídico,Fucidine,Comprimido revestido,250 mg,Leo Pharma A/S,Não,Autorizado,Não Comercializado
Insulina humana (solúvel + isofânica),Insuman Comb 50,Suspensão injetável,100 U.I./ml (50% + 50%),Sanofi Aventis Deutschland GmbH,Não,Autorizado,Não Comercializado
Insulina humana (solúvel + isofânica),Insuman Comb 50,Suspensão injetável,40 U.I./ml (50% + 50%),Sanofi Aventis Deutschland GmbH,Não,Autorizado,Não Comercializado
Insulina humana (solúvel),Insuman Infusat,Solução injetável,100 U.I./ml,Sanofi Aventis Deutschland GmbH,Não,Autorizado,Não Comercializado
Insulina humana (solúvel),Insuman Rapid,Solução injetável,100 U.I./ml,Sanofi Aventis Deutschland GmbH,Não,Autorizado,Não Comercializado
Estradiol,Dermestril 25,Sistema transdérmico,25 µg/24 h,"BGP Products, Unipessoal Lda.",Não,Autorizado,Comercializado
Estradiol,Dermestril 50,Sistema transdérmico,50 µg/24 h,"BGP Products, Unipessoal Lda.",Não,Autorizado,Comercializado
Insulina humana (solúvel),Insuman Rapid,Solução injetável,40 U.I./ml,Sanofi Aventis Deutschland GmbH,Não,Autorizado,Não Comercializado
Azitromicina,Azitromicina Bloza,Comprimido revestido por película,250 mg,"Bluepharma - Indústria Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Azitromicina,Azitromicina Bloza,Comprimido revestido por película,500 mg,"Bluepharma - Indústria Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Irinotecano,Irinotecano Generis,Concentrado para solução para perfusão,20 mg/ml,Eugia Pharma (Malta) Limited,Sim,Autorizado,Não Comercializado
Sulfametoxazol + Trimetoprim,Bactrim,Xarope,200 mg/5 ml + 40 mg/5 ml,Eumedica Pharmaceuticals GmbH,Não,Autorizado,Comercializado
Blinatumomab,Blincyto,Pó para concentrado e solução para solução para perfusão,38.5 µg,"Amgen Europe, B.V.",Não,Autorizado,Comercializado
Diclofenac,Dimobil,Gel,50 mg/g,Look Ahead SRL,Não,Autorizado,Comercializado
Bilastina,Bilastina MSN,Comprimido,20 mg,MSN Labs Europe Limited,Sim,Autorizado,Não Comercializado
Picossulfato de sódio,Fructines,Comprimido para chupar,5 mg,"FEREL  COMÉRCIO E REPRES., LDA",Não,Autorizado,Não Comercializado
Cetoprofeno,Kepin,Solução injetável,100 mg/2 ml,"Laboratórios Azevedos - Indústria Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Ácido fusídico,Fucidine,Pomada,20 mg/g,Leo Pharma A/S,Não,Autorizado,Comercializado
Glucose,Glucose 20% Labesfal,Solução para perfusão,200 mg/ml,"Labesfal - Laboratórios Almiro, S.A.",Não,Autorizado,Não Comercializado
Sufentanilo,Sufenta Forte,Solução injetável,0.05 mg/ml,Piramal Critical Care BV,Não,Autorizado,Não Comercializado
Glucose,Glucose 5% Labesfal,Solução para perfusão,50 mg/ml,"Labesfal - Laboratórios Almiro, S.A.",Não,Autorizado,Comercializado
Baclofeno,Lioresal,Comprimido,10 mg,"Novartis Farma - Produtos Farmacêuticos, S.A.",Não,Autorizado,Comercializado
Rilmenidina,Hyperium,Comprimido,1 mg,"Servier Portugal - Especialidades Farmacêuticas, Lda.",Não,Autorizado,Comercializado
Emtricitabina + Tenofovir,Emtricitabina + Tenofovir disoproxil Mylan,Comprimido revestido por película,200 mg + 245 mg,Mylan Pharmaceuticals Limited,Sim,Autorizado,Não Comercializado
Amoxicilina,Amoxicilina Labesfal,Comprimido,1000 mg,"Generis Farmacêutica, S.A.",Não,Autorizado,Comercializado
Amoxicilina + Ácido clavulânico,Amoclavam,Comprimido revestido,500 mg + 125 mg,"Sifauman - Produtos Farmacêuticos, Lda",Não,Autorizado,Não Comercializado
Amoxicilina + Ácido clavulânico,Amoclavam,Pó para suspensão oral,125 mg/5 ml + 31.25 mg/5 ml,"Sifauman - Produtos Farmacêuticos, Lda",Não,Autorizado,Não Comercializado
Amoxicilina + Ácido clavulânico,Amoclavam Forte,Pó para suspensão oral,250 mg/5 ml + 62.5 mg/5 ml,"Sifauman - Produtos Farmacêuticos, Lda",Não,Autorizado,Não Comercializado
Ceftazidima,Ceftazidima Labesfal,Pó para solução para perfusão,2000 mg,"Labesfal - Laboratórios Almiro, S.A.",Sim,Autorizado,Comercializado
Amoxicilina,Amoxicilina Labesfal,Pó para suspensão oral,250 mg/5 ml,"Generis Farmacêutica, S.A.",Não,Autorizado,Não Comercializado
Ciproterona,Androcur,Comprimido,100 mg,"Bayer Portugal, Lda.",Não,Autorizado,Comercializado
Lorazepam,Ansilor,Comprimido,1 mg,"Generis Farmacêutica, S.A.",Não,Autorizado,Comercializado
Lorazepam,Ansilor,Comprimido,2.5 mg,"Generis Farmacêutica, S.A.",Não,Autorizado,Comercializado
Ciclopentolato,Cicloplegicedol,"Colírio, solução",10 mg/ml,"Laboratório Edol - Produtos Farmacêuticos, S.A.",Não,Autorizado,Comercializado
Nitrofurantoína,Furadantina MC,Cápsula,100 mg,Amdipharm Ltd,Não,Autorizado,Comercializado
Foslevodopa + Foscarbidopa,Duodopa,Solução para perfusão,240 mg/ml + 12 mg/ml,"Abbvie, Lda.",Não,Autorizado,Não Comercializado
Efmoroctocog alfa,Elocta,Pó e solvente para solução injetável,167 U.I./ml,"Swedish Orphan Biovitrum, AB",Não,Autorizado,Comercializado
Cânfora + Mentol,Vicks Inalador,Solução para inalação por vaporização,410 mg/g + 410 mg/g,"Laboratorios Vicks, S.L.",Não,Autorizado,Comercializado
Ácido valpróico,Ácido valpróico Generis Phar,Comprimido de libertação prolongada,300 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Óleo essencial de eucalipto + Cânfora + Mentol + Óleo essencial de terebintina,Vicks Vaporub,Pomada,Associação,"Laboratorios Vicks, S.L.",Não,Autorizado,Comercializado
Ácido valpróico,Ácido valpróico Generis Phar,Comprimido de libertação prolongada,500 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Levofloxacina,Levofloxacina Velka Hellas,"Colírio, solução",5 mg/ml,"Velka Hellas, S.A.",Não,Autorizado,Não Comercializado
Tiagabina,Gabitril,Comprimido revestido por película,10 mg,"Teva Pharma, B.V.",Não,Autorizado,Comercializado
Tiagabina,Gabitril,Comprimido revestido por película,15 mg,"Teva Pharma, B.V.",Não,Autorizado,Comercializado
Aciclovir,Cicloviral IV,Pó para solução para perfusão,250 mg,"Laboratório Medinfar - Produtos Farmacêuticos, S.A.",Não,Autorizado,Não Comercializado
Regdanvimab,Regkirona,Concentrado para solução para perfusão,60 mg/ml,Celltrion Healthcare Hungary Kft.,Não,Autorizado,Não Comercializado
Cimetidina,Cim,Comprimido revestido,200 mg,"Angelini Pharma Portugal, Unipessoal Lda",Não,Autorizado,Não Comercializado
Amidotrizoato de meglumina + Amidotrizoato de sódio,Gastrografina,Solução gastroentérica,660 mg/ml + 100 mg/ml,"Bayer Portugal, Lda.",Não,Autorizado,Comercializado
Cefotaxima,Cefotaxima Labesfal 500 mg Pó e solvente para solução injectável IM/IV,Pó e solvente para solução injetável,500 mg/2 ml,"Labesfal - Laboratórios Almiro, S.A.",Sim,Autorizado,Comercializado
Cefotaxima,Cefotaxima Labesfal 1000 mg Pó e solvente para solução injectável IM,Pó e solvente para solução injetável,1000 mg/4 ml,"Labesfal - Laboratórios Almiro, S.A.",Sim,Autorizado,Não Comercializado
Cefoxitina,Cefoxitina Labesfal,Pó e solvente para solução injetável,500 mg/2 ml,"Labesfal - Laboratórios Almiro, S.A.",Sim,Autorizado,Não Comercializado
Duloxetina,Duloxetina Aurobindo,Cápsula gastrorresistente,20 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Cefoxitina,Cefoxitina Labesfal,Pó e solvente para solução injetável,1000 mg/10 ml,"Labesfal - Laboratórios Almiro, S.A.",Sim,Autorizado,Comercializado
Ceftazidima,Ceftazidima Labesfal,Pó e solvente para solução injetável,1000 mg/3 ml,"Labesfal - Laboratórios Almiro, S.A.",Sim,Autorizado,Comercializado
Oxitriptano,Cincofarm,Cápsula,100 mg,"Angelini Pharma Portugal, Unipessoal Lda",Não,Autorizado,Comercializado
Diclofenac,Dagesil,Solução injetável ou para perfusão,75 mg/3 ml,"Laboratórios Basi - Indústria Farmacêutica, S.A",Sim,Autorizado,Não Comercializado
Salicilato de dietilamina,Massagim,Creme,28.57 mg/g,"Faes Farma Portugal, S.A.",Não,Autorizado,Não Comercializado
Galcanezumab,Emgality,Solução injetável em seringa pré-cheia,120 mg/1 ml,"Eli Lilly Nederland, B.V.",Não,Autorizado,Não Comercializado
Rituximab,Truxima,Concentrado para solução para perfusão,100 mg/10 ml,Celltrion Healthcare Hungary Kft.,Não,Autorizado,Comercializado
Cobamamida,Jaba B12,Pó e solvente para solução injetável,20 mg/2 ml,"Jaba Recordati, S.A.",Não,Autorizado,Não Comercializado
Amoxicilina,Amoxil,Pó e solvente para solução injetável,500 mg/10 ml,"Labesfal - Laboratórios Almiro, S.A.",Não,Autorizado,Não Comercializado
Amoxicilina,Amoxil,Pó e solvente para solução injetável,1000 mg/20 ml,"Labesfal - Laboratórios Almiro, S.A.",Não,Autorizado,Não Comercializado
Iopamidol,Gastromiro,Solução oral,612.4 mg/ml,"Bracco Imaging, S.p.A.",Não,Autorizado,Comercializado
Ganciclovir,Ganciclovir Accord,Pó para concentrado para solução para perfusão,500 mg,"Accord Healthcare, S.L.U.",Sim,Autorizado,Comercializado
Tizanidina,Sirdalud MR,Cápsula de libertação modificada,6 mg,"Sandoz Farmacêutica, Lda.",Não,Autorizado,Não Comercializado
Timolol + Dorzolamida,Cosopt,"Colírio, solução em recipiente unidose",1 mg/0.2 ml + 4 mg/0.2 ml,Santen Oy,Não,Autorizado,Não Comercializado
Miconazol + Hidrocortisona,Daktacort,Creme,20 mg/g + 10 mg/g,"Johnson & Johnson, Lda.",Não,Autorizado,Comercializado
Indapamida,Fludex,Comprimido revestido,2.5 mg,"Servier Portugal - Especialidades Farmacêuticas, Lda.",Não,Autorizado,Comercializado
Indapamida,Fludex LP,Comprimido de libertação prolongada,1.5 mg,"Servier Portugal - Especialidades Farmacêuticas, Lda.",Não,Autorizado,Comercializado
Paracetamol + Ácido ascórbico,Paramolan C,Pó para solução oral,500 mg + 250 mg,"Medinfar Consumer Health - Produtos Farmacêuticos, Lda.",Não,Autorizado,Comercializado
Lisados polibacterianos,Paspat Oral,Comprimido,3 mg,"Daiichi Sankyo Portugal, Unipessoal Lda.",Não,Autorizado,Comercializado
Estazolam,Kainever,Comprimido,2 mg,"Laboratório Medinfar - Produtos Farmacêuticos, S.A.",Não,Autorizado,Comercializado
Cetoprofeno,Profenid,Solução injetável,100 mg/2 ml,"Sanofi - Produtos Farmacêuticos, Lda.",Não,Autorizado,Não Comercializado
Aminoácidos + Electrólitos + Glucose + Lípidos,Numeta G13%E,Emulsão para perfusão,Associação,"Baxter Médico-Farmacêutica, Lda.",Não,Autorizado,Comercializado
Fentanilo,Vellofent,Comprimido sublingual,67 µg,"Angelini Pharma Portugal, Unipessoal Lda",Não,Autorizado,Não Comercializado
Tirotricina + Benzocaína,Mentocaína-R,Pastilha,1.05 mg + 2.5 mg,"Laboratórios Azevedos - Indústria Farmacêutica, S.A.",Não,Autorizado,Comercializado
Hidróxido de alumínio,Almigástrico,Comprimido,500 mg,"Labesfal - Laboratórios Almiro, S.A.",Não,Autorizado,Não Comercializado
Paracetamol + Cafeína,Almigripe,Comprimido,500 mg + 20 mg,"Labesfal Farma - Produtos Farmacêuticos, Lda",Não,Autorizado,Não Comercializado
Melfalano,Alkeran,Comprimido revestido por película,2 mg,Aspen Pharma Trading Ltd.,Não,Autorizado,Não Comercializado
Anfotericina B,Abelcet,Concentrado para suspensão para perfusão,5 mg/ml,"Teva Pharma - Produtos Farmacêuticos, Lda.",Não,Autorizado,Não Comercializado
Benzoato de benzilo,Acarilbial,Solução cutânea,277 mg/ml,"Bial - Consumer Health, S.A.",Não,Autorizado,Comercializado
Glicofosfopeptical,Glicofosfopeptical Tecnilor,Granulado,500 mg,"Farma 1000 - Prod. Farmacêuticos, Lda.",Não,Autorizado,Não Comercializado
Azatioprina,Imuran,Comprimido revestido por película,25 mg,Aspen Pharma Trading Ltd.,Não,Autorizado,Comercializado
Clindamicina,Clindamicina Labesfal,Cápsula,150 mg,"Labesfal - Laboratórios Almiro, S.A.",Não,Autorizado,Comercializado
Azatioprina,Imuran,Comprimido revestido por película,50 mg,Aspen Pharma Trading Ltd.,Não,Autorizado,Comercializado
Clindamicina,Clincina,Solução injetável,600 mg/4 ml,"Labesfal - Laboratórios Almiro, S.A.",Sim,Autorizado,Comercializado
Cloranfenicol,Cloranfenicol Made,Comprimido revestido,250 mg,"Sidefarma - Sociedade Industrial de Expansão Farmacêutica, S.A.",Não,Autorizado,Não Comercializado
Cloreto de cálcio,Cloreto de Cálcio 10% Labesfal,Solução injetável,100 mg/ml,"Labesfal - Laboratórios Almiro, S.A.",Não,Autorizado,Comercializado
Cloreto de potássio,Cloreto de Potássio 10% Labesfal,Solução injetável,100 mg/ml,"Labesfal - Laboratórios Almiro, S.A.",Não,Autorizado,Não Comercializado
Cloreto de potássio,"Cloreto de Potássio 7,5% Labesfal",Solução injetável,75 mg/ml,"Labesfal - Laboratórios Almiro, S.A.",Não,Autorizado,Comercializado
Cloreto de potássio,Cloreto de Potássio Sandoz Retard,Comprimido de libertação prolongada,600 mg,"Sandoz Farmacêutica, Lda.",Não,Autorizado,Não Comercializado
Indometacina,Indocid,Cápsula,25 mg,H.A.C. Pharma,Não,Autorizado,Comercializado
Indometacina,Indocid,Supositório,100 mg,H.A.C. Pharma,Não,Autorizado,Comercializado
Cloreto de sódio,Cloreto de Sódio 10% Labesfal,Solução injetável,100 mg/ml,"Labesfal - Laboratórios Almiro, S.A.",Não,Autorizado,Não Comercializado
Cloreto de sódio,Cloreto de Sódio 20% Labesfal,Solução injetável,200 mg/ml,"Labesfal - Laboratórios Almiro, S.A.",Não,Autorizado,Comercializado
Cloreto de sódio,Cloreto de Sódio 20% Braun,Concentrado para solução para perfusão,200 mg/ml,"B. Braun Medical, Unipessoal Lda.",Não,Autorizado,Comercializado
Cetirizina,Zyrtec,Comprimido revestido por película,10 mg,"UCB Pharma (Produtos Farmacêuticos), Lda.",Não,Autorizado,Comercializado
Sulfadiazina,Labdiazina,Comprimido,500 mg,"Sidefarma - Sociedade Industrial de Expansão Farmacêutica, S.A.",Não,Autorizado,Não Comercializado
Piracetam,Acetar,Comprimido,1200 mg,"Labesfal - Laboratórios Almiro, S.A.",Não,Autorizado,Não Comercializado
Morfina,Morfina 1% Braun,Solução injetável,10 mg/1 ml,"B. Braun Medical, Unipessoal Lda.",Não,Autorizado,Comercializado
Cloranfenicol,Clorocil,"Colírio, solução",8 mg/ml,"Laboratório Edol - Produtos Farmacêuticos, S.A.",Não,Autorizado,Comercializado
Ácido ibandrónico,Bondronat,Comprimido revestido,50 mg,Atnahs Pharma Netherlands B.V.,Não,Autorizado,Comercializado
Clozapina,Ozapim,Comprimido,25 mg,"Labesfal - Laboratórios Almiro, S.A.",Não,Autorizado,Comercializado
Centela,Madécassol,Pomada,10 mg/g,"Confar - Consórcio Farmacêutico, Lda.",Não,Autorizado,Não Comercializado
Manitol,Manitol 10% Labesfal,Solução para perfusão,100 mg/ml,"Labesfal - Laboratórios Almiro, S.A.",Não,Autorizado,Não Comercializado
Cobamamida,Cobaxid,Cápsula,2.5 mg,"Tecnifar - Indústria Técnica Farmacêutica, S.A.",Não,Autorizado,Não Comercializado
Cobamamida,Cobaxid Infantil,Pó oral,1 mg,"Tecnifar - Indústria Técnica Farmacêutica, S.A.",Não,Autorizado,Não Comercializado
Manitol,Manitol 20% Labesfal,Solução para perfusão,200 mg/ml,"Labesfal - Laboratórios Almiro, S.A.",Não,Autorizado,Comercializado
Colquicina,Colchicine,Comprimido,1 mg,"Jaba Recordati, S.A.",Não,Autorizado,Comercializado
Doxiciclina,Actidox 100,Comprimido dispersível,100 mg,"Laboratoires Bailleul, S.A.",Não,Autorizado,Comercializado
Aceponato de metilprednisolona,Advantan,Creme,1 mg/g,Leo Pharma A/S,Não,Autorizado,Comercializado
Aceponato de metilprednisolona,Advantan,Emulsão cutânea,1 mg/g,Leo Pharma A/S,Não,Autorizado,Comercializado
Aceponato de metilprednisolona,Advantan,Pomada,1 mg/g,Leo Pharma A/S,Não,Autorizado,Comercializado
Cefoxitina,Cefoxitina Labesfal,Pó e solvente para solução injetável,1000 mg/2 ml,"Labesfal - Laboratórios Almiro, S.A.",Sim,Autorizado,Não Comercializado
Cefoxitina,Cefoxitina Labesfal,Pó e solvente para solução injetável,500 mg/5 ml,"Labesfal - Laboratórios Almiro, S.A.",Sim,Autorizado,Não Comercializado
Ácido acetilsalicílico + Cafeína,Melhoral,Comprimido,500 mg + 30 mg,Uriach Lusa S.A.,Não,Autorizado,Comercializado
Buspirona,Ansiten 10,Comprimido,10 mg,"Laboratórios Azevedos - Indústria Farmacêutica, S.A.",Não,Autorizado,Comercializado
Itraconazol,Itraconazol Fungizol,Cápsula,100 mg,Laboratorios Liconsa S.A.,Sim,Autorizado,Não Comercializado
Buspirona,Ansiten 5,Comprimido,5 mg,"Laboratórios Azevedos - Indústria Farmacêutica, S.A.",Não,Autorizado,Comercializado
Ácido acetilsalicílico,ASP,Comprimido,100 mg,"Laboratório Medinfar - Produtos Farmacêuticos, S.A.",Não,Autorizado,Comercializado
Azelastina,Allergodil,Solução para pulverização nasal,1 mg/ml,"BGP Products, Unipessoal Lda.",Não,Autorizado,Comercializado
